sample	dataset	forward_read	reverse_read
B17_ReDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.d3c8ab03ec1a441686d6bd6663d35512/B17_ReDNase_S50_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.d3c8ab03ec1a441686d6bd6663d35512/B17_ReDNase_S50_L001_R2_001.fastq.gz
B21_NaNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.90601c1de431439d8d0cd8719bb4ad3d/B21_NaNa_S73_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.90601c1de431439d8d0cd8719bb4ad3d/B21_NaNa_S73_L001_R2_001.fastq.gz
B23_LyNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.e60ca8baa59d4bc9965b63a29527c22e/B23_LyNa_S76_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.e60ca8baa59d4bc9965b63a29527c22e/B23_LyNa_S76_L001_R2_001.fastq.gz
B22_LyPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.1d7ae090599e40079c0b09f6ecbc9cb8/B22_LyPMA_S7_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.1d7ae090599e40079c0b09f6ecbc9cb8/B22_LyPMA_S7_L001_R2_001.fastq.gz
B20_NaDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.f039ae92a865473183251c4c800f89c7/B20_NaDNase_S69_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.f039ae92a865473183251c4c800f89c7/B20_NaDNase_S69_L001_R2_001.fastq.gz
B23_NaDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.57881bc097c64457a5490c10344802c1/B23_NaDNase_S57_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.57881bc097c64457a5490c10344802c1/B23_NaDNase_S57_L001_R2_001.fastq.gz
B19_RePMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.f9732eae19204d6bafb8b42448a90acc/B19_RePMA_S59_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.f9732eae19204d6bafb8b42448a90acc/B19_RePMA_S59_L001_R2_001.fastq.gz
B17_LyDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.fe6cc6ee2803404d8eafb418884b0e16/B17_LyDNase_S68_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.fe6cc6ee2803404d8eafb418884b0e16/B17_LyDNase_S68_L001_R2_001.fastq.gz
B16_ReDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.351f6aa8d43c4927b4e4c3ac49c63b6e/B16_ReDNase_S19_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.351f6aa8d43c4927b4e4c3ac49c63b6e/B16_ReDNase_S19_L001_R2_001.fastq.gz
B18_NaDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.4a31dc1d22924b649e56d18421cc076f/B18_NaDNase_S25_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.4a31dc1d22924b649e56d18421cc076f/B18_NaDNase_S25_L001_R2_001.fastq.gz
Blank4	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.f79b36cab601490192f371f4a44a5874/Blank4_S44_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.f79b36cab601490192f371f4a44a5874/Blank4_S44_L001_R2_001.fastq.gz
B16_LyDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.e101a47d15cd4fc2aae23f5401341a19/B16_LyDNase_S52_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.e101a47d15cd4fc2aae23f5401341a19/B16_LyDNase_S52_L001_R2_001.fastq.gz
B18_LyDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.6cafa54017164462a269cf71448907d7/B18_LyDNase_S29_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.6cafa54017164462a269cf71448907d7/B18_LyDNase_S29_L001_R2_001.fastq.gz
B23_NaNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.7960684090174614abb491a8bdef61f5/B23_NaNa_S17_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.7960684090174614abb491a8bdef61f5/B23_NaNa_S17_L001_R2_001.fastq.gz
B17_ReNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.5f2aae7ad0f94d2a8ed3460d1913b1dd/B17_ReNa_S35_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.5f2aae7ad0f94d2a8ed3460d1913b1dd/B17_ReNa_S35_L001_R2_001.fastq.gz
B17_NaDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.3e52c002b8384d93b5ffa7946f2b8815/B17_NaDNase_S3_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.3e52c002b8384d93b5ffa7946f2b8815/B17_NaDNase_S3_L001_R2_001.fastq.gz
B22_LyDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.58b5aa9d7b774769a69138be55bf0abd/B22_LyDNase_S42_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.58b5aa9d7b774769a69138be55bf0abd/B22_LyDNase_S42_L001_R2_001.fastq.gz
B21_ReDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.9e8e4329442c4daa972d88522243abc6/B21_ReDNase_S45_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.9e8e4329442c4daa972d88522243abc6/B21_ReDNase_S45_L001_R2_001.fastq.gz
B18_NaPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.acde30b2d3ad4481aec9f0ee8d4761dc/B18_NaPMA_S40_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.acde30b2d3ad4481aec9f0ee8d4761dc/B18_NaPMA_S40_L001_R2_001.fastq.gz
B20_ReDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.b358633fb47d4db7b4b1a51f6f2d6072/B20_ReDNase_S43_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.b358633fb47d4db7b4b1a51f6f2d6072/B20_ReDNase_S43_L001_R2_001.fastq.gz
B18_ReNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.89fe3144afad407db1356ba693a9b5f3/B18_ReNa_S9_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.89fe3144afad407db1356ba693a9b5f3/B18_ReNa_S9_L001_R2_001.fastq.gz
B21_ReNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.9465e3411f934c51990d2fb923a395eb/B21_ReNa_S61_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.9465e3411f934c51990d2fb923a395eb/B21_ReNa_S61_L001_R2_001.fastq.gz
B20_ReNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.b6585528deed4a9b9e866e1a303d0fd7/B20_ReNa_S37_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.b6585528deed4a9b9e866e1a303d0fd7/B20_ReNa_S37_L001_R2_001.fastq.gz
B18_LyNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.f33ca50fa31f47a6a8e5a395304869f6/B18_LyNa_S60_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.f33ca50fa31f47a6a8e5a395304869f6/B18_LyNa_S60_L001_R2_001.fastq.gz
B20_NaNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.cd0bbc80ee404b74a07dcd1b4d9941f6/B20_NaNa_S24_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.cd0bbc80ee404b74a07dcd1b4d9941f6/B20_NaNa_S24_L001_R2_001.fastq.gz
B18_NaNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.c37d0aecd92445dcbbfa16bf4cf380a4/B18_NaNa_S53_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.c37d0aecd92445dcbbfa16bf4cf380a4/B18_NaNa_S53_L001_R2_001.fastq.gz
B23_LyPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.b72ac09ce3f440e6802c4e7c7ca4afbc/B23_LyPMA_S5_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.b72ac09ce3f440e6802c4e7c7ca4afbc/B23_LyPMA_S5_L001_R2_001.fastq.gz
B20_RePMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.dd0848f6c5cb47e491b6b76ca9bd2cb3/B20_RePMA_S18_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.dd0848f6c5cb47e491b6b76ca9bd2cb3/B20_RePMA_S18_L001_R2_001.fastq.gz
B20_LyDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.c8946775b24547c1b84a3403343100f0/B20_LyDNase_S15_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.c8946775b24547c1b84a3403343100f0/B20_LyDNase_S15_L001_R2_001.fastq.gz
B21_LyPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.4e7e9b2dd9d44c4c9dbe53e11f0b1186/B21_LyPMA_S67_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.4e7e9b2dd9d44c4c9dbe53e11f0b1186/B21_LyPMA_S67_L001_R2_001.fastq.gz
B23_RePMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.089fa787ef2549c8b82421c3291b4a13/B23_RePMA_S47_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.089fa787ef2549c8b82421c3291b4a13/B23_RePMA_S47_L001_R2_001.fastq.gz
B18_RePMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.0647a275dc4f439eade474240c99f34c/B18_RePMA_S51_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.0647a275dc4f439eade474240c99f34c/B18_RePMA_S51_L001_R2_001.fastq.gz
Blank6	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.7baa9064bc3f42db8f2c84b13fbe6f33/Blank6_S64_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.7baa9064bc3f42db8f2c84b13fbe6f33/Blank6_S64_L001_R2_001.fastq.gz
B17_LyPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.e05564c3a4a74522a8b34b40be28f76c/B17_LyPMA_S13_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.e05564c3a4a74522a8b34b40be28f76c/B17_LyPMA_S13_L001_R2_001.fastq.gz
B19_LyPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.48502edce14f4e02b4ce085b99dbd175/B19_LyPMA_S20_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.48502edce14f4e02b4ce085b99dbd175/B19_LyPMA_S20_L001_R2_001.fastq.gz
B22_NaNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.31ac77ff774d4b39bbfeca92e540f4d5/B22_NaNa_S12_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.31ac77ff774d4b39bbfeca92e540f4d5/B22_NaNa_S12_L001_R2_001.fastq.gz
B22_NaPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.fed5acf49e62488087435e0f411dc972/B22_NaPMA_S22_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.fed5acf49e62488087435e0f411dc972/B22_NaPMA_S22_L001_R2_001.fastq.gz
B23_ReNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.2a3d5662667e48e8bc59132d351edfdf/B23_ReNa_S26_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.2a3d5662667e48e8bc59132d351edfdf/B23_ReNa_S26_L001_R2_001.fastq.gz
B20_NaPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.fa0d86a27ce348d280187f0fed9dc701/B20_NaPMA_S65_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.fa0d86a27ce348d280187f0fed9dc701/B20_NaPMA_S65_L001_R2_001.fastq.gz
Blank3	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.b7da02a5002443758977c5af62843fa6/Blank3_S32_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.b7da02a5002443758977c5af62843fa6/Blank3_S32_L001_R2_001.fastq.gz
B19_NaNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.69753cdbc4ca4c13945f3b9383a98df1/B19_NaNa_S56_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.69753cdbc4ca4c13945f3b9383a98df1/B19_NaNa_S56_L001_R2_001.fastq.gz
